id_perro,id_raza,nombre,color_base,edad_detallada,edad,sexo,Edad segmentada
1,124,DINAH,Black,3 years 10 months.,3,Female,Adulto Joven
2,135,MARIA,Brown and Black,1 year 10 months.,1,Female,Cachorro
3,146,LOUISE VADA,Black,3 years 2 months.,3,Female,Adulto Joven
4,181,PRECIOUS,Ruddy,4 years 9 months.,4,Female,Adulto Joven
5,147,BEEMO,Blue,6 years 10 months.,6,Male,Adulto
6,147,ZOEY,Grey and White,2 years 8 months.,2,Female,Cachorro
7,124,GUS,Chocolate,2 years 10 months.,2,Male,Cachorro
8,101,CLYDE,Golden,6 years 2 months.,6,Male,Adulto
9,131,BELLA BOO!,Brindle,4 years 4 months.,4,Female,Adulto Joven
10,146,PATTY,Tan,3 years 5 months.,3,Female,Adulto Joven
11,147,DIBS,White,2 years 10 months.,2,Male,Cachorro
12,142,SERAFINA,White,6 years 9 months.,6,Female,Adulto
13,23,WAYLON,Tricolour,4 years 8 months.,4,Male,Adulto Joven
14,124,APOLLO,Black,3 years 0 months.,3,Male,Adulto Joven
15,181,CAROL,Black and Brown,6 years 11 months.,6,Female,Adulto
16,54,JYNX,Black,5 years 4 months.,5,Female,Adulto Joven
17,187,SISQO,Black and White,3 years 11 months.,3,Male,Adulto Joven
18,112,LARRY,Red,3 years 1 month.,3,Male,Adulto Joven
19,124,EARNEST,Black,2 years 3 months.,2,Male,Cachorro
20,42,SADIE,Brindle,9 years 3 months.,9,Female,Adulto
21,66,CHARLIE,Red,2 years 4 months.,2,Male,Cachorro
22,146,JAYCE,Blue,5 years 8 months.,5,Male,Adulto Joven
23,153,MAYA,Silver,2 years 6 months.,2,Female,Cachorro
24,146,ACHERON,Grey,4 years 7 months.,4,Male,Adulto Joven
25,147,RENESMEE,Brown,6 years 2 months.,6,Female,Adulto
26,147,LUNA,Black and White,4 years 8 months.,4,Female,Adulto Joven
27,11,TANK,Black and White,6 years 8 months.,6,Male,Adulto
28,193,SMOKEY,Grey and White,2 years 8 months.,2,Male,Cachorro
29,193,ELLIOT,Brown,9 years 8 months.,9,Male,Adulto
30,162,MOTO,Black and White,16 years 8 months.,16,Male,Adulto Mayor
31,18,KINGSTON,Black and White,4 years 5 months.,4,Male,Adulto Joven
32,132,SNICKERS,Tan,2 years 7 months.,2,Male,Cachorro
33,147,TARA,Black,2 years 6 months.,2,Female,Cachorro
34,37,JELLY,Black and White,2 years 9 months.,2,Female,Cachorro
35,37,PEACH,Brown,1 year 8 months.,1,Female,Cachorro
36,37,BUSTER BROWN,Brown and White,1 year 8 months.,1,Male,Cachorro
37,37,PEPPER,Brown and White,2 years 0 months.,2,Female,Cachorro
38,37,BUTTER,Brown and White,1 year 8 months.,1,Male,Cachorro
39,37,PISTOL PETE,Black and White,1 year 8 months.,1,Male,Cachorro
40,37,KING,Black and White,2 years 2 months.,2,Male,Cachorro
41,37,CHUTNEY,Brown and White,1 year 8 months.,1,Female,Cachorro
42,37,LUCY LU,Black and White,1 year 8 months.,1,Female,Cachorro
43,37,VISTA,Black and White,1 year 8 months.,1,Female,Cachorro
44,37,HONEY,Brown and White,1 year 8 months.,1,Female,Cachorro
45,66,SAM,Tan,13 years 7 months.,13,Female,Adulto Mayor
46,95,MAVERICK,Ruddy,3 years 7 months.,3,Male,Adulto Joven
47,65,LOLA,Tan,6 years 8 months.,6,Female,Adulto
48,147,MONET,Brown,2 years 8 months.,2,Female,Cachorro
49,198,BLAZE,Blue,2 years 10 months.,2,Male,Cachorro
50,146,PEANUT,Brown,2 years 8 months.,2,Male,Cachorro
51,66,ENZO,White,2 years 3 months.,2,Male,Cachorro
52,163,LITTLE,Cream,7 years 8 months.,7,Female,Adulto
53,163,CHICA,Tricolour,8 years 8 months.,8,Female,Adulto
54,66,QUINCY,Brown and Black,1 year 9 months.,1,Male,Cachorro
55,66,TIKE,Tan and Black,1 year 9 months.,1,Male,Cachorro
56,66,REBEKKAH,Black and Tan,1 year 9 months.,1,Female,Cachorro
57,66,ELIZABETH,Brown and Black,1 year 9 months.,1,Female,Cachorro
58,124,GUS,Black and White,3 years 10 months.,3,Male,Adulto Joven
59,66,PENNY,Brown and White,3 years 0 months.,3,Female,Adulto Joven
60,181,WHISKY,Black and Tan,2 years 1 month.,2,Male,Cachorro
61,147,HERMIE,White and Tan,3 years 9 months.,3,Male,Adulto Joven
62,112,TUFF,Brown,3 years 7 months.,3,Male,Adulto Joven
63,112,OTIS,Brown and White,1 year 10 months.,1,Male,Cachorro
64,111,OTIS,Brown,1 year 9 months.,1,Male,Cachorro
65,113,ANGEL,Grey and White,3 years 2 months.,3,Female,Adulto Joven
66,124,OSCAR,Brown,2 years 8 months.,2,Male,Cachorro
67,124,OREO,Black and White,2 years 5 months.,2,Female,Cachorro
68,181,KI,Tan,2 years 9 months.,2,Male,Cachorro
69,181,LUCY,Black,3 years 7 months.,3,Female,Adulto Joven
70,193,MAVERICK,Fawn,3 years 0 months.,3,Male,Adulto Joven
71,124,SPROUT,Golden,10 years 1 month.,10,Male,Adulto Mayor
72,66,QUEEN,Tan and White,3 years 7 months.,3,Female,Adulto Joven
73,146,KAI,Blue,4 years 1 month.,4,Female,Adulto Joven
74,95,REVEREND BELL,Brown and Black,8 years 7 months.,8,Male,Adulto
75,185,ANNIE,White and Tan,13 years 7 months.,13,Female,Adulto Mayor
76,156,MUNSTER,Black,7 years 7 months.,7,Male,Adulto
77,75,AMOS,Tricolour,13 years 3 months.,13,Male,Adulto Mayor
78,6,CURLY STEWART,Brown and Black,6 years 7 months.,6,Female,Adulto
79,175,ROAMER,Black and Brown,2 years 7 months.,2,Male,Cachorro
80,50,MAY,Brown and White,5 years 7 months.,5,Male,Adulto Joven
81,36,MONTE,Black and White,5 years 7 months.,5,Male,Adulto Joven
82,112,STARBUCKS,Brown and White,2 years 1 month.,2,Male,Cachorro
83,96,STAR,Black,3 years 0 months.,3,Female,Adulto Joven
84,146,D.O.G,Black,3 years 7 months.,3,Male,Adulto Joven
85,147,ROGER,Brindle and White,2 years 8 months.,2,Male,Cachorro
86,23,VIVIEN,Tricolour,6 years 7 months.,6,Female,Adulto
87,75,ZELDA,Tricolour,4 years 7 months.,4,Female,Adulto Joven
88,181,HOSS,Brown,2 years 1 month.,2,Male,Cachorro
89,112,SOPHIA,Black and Brown,4 years 7 months.,4,Female,Adulto Joven
90,93,BUTCH,Tricolour,2 years 7 months.,2,Male,Cachorro
91,112,LADY CRUSH,Brindle,5 years 4 months.,5,Female,Adulto Joven
92,111,MR. TUMNUS,Black and Tan,2 years 7 months.,2,Male,Cachorro
93,23,SMOKEY OWEN,Tricolour,11 years 7 months.,11,Male,Adulto Mayor
94,21,BANDIT,Grey and White,16 years 7 months.,16,Male,Adulto Mayor
95,161,LUCKY/HARDEN,Black and Brown,3 years 5 months.,3,Male,Adulto Joven
96,17,KOGA,Black and White,2 years 7 months.,2,Male,Cachorro
97,74,KAREN,Fawn,3 years 10 months.,3,Female,Adulto Joven
98,123,MADDOX,Black and White,10 years 11 months.,10,Male,Adulto Mayor
99,123,PRINCESS,Black and White,2 years 4 months.,2,Female,Cachorro
