id_perro,fecha_ingreso,id_ingreso,fecha_traslado,id_traslado,fecha_retorno,id_retorno,fecha_defuncion,id_defuncion,estadía en refugio,estadía en hogar,nuevo hogar
1,17/01/2017,1,31/03/2017,2,01/04/2017,7,,10,73,1,NO
2,27/01/2017,1,01/04/2017,1,,,,10,64,,SI
3,05/02/2017,12,05/04/2017,3,,,,10,59,,SI
4,14/02/2017,1,21/03/2017,2,09/04/2017,7,,10,35,19,NO
5,16/02/2017,1,15/04/2017,1,12/07/2017,11,,10,58,88,NO
6,27/02/2017,20,08/04/2017,1,05/05/2017,20,,10,40,27,NO
7,04/03/2017,1,03/04/2017,1,,,,10,30,,SI
8,06/03/2017,1,29/03/2017,1,04/04/2017,9,,10,23,6,NO
9,07/03/2017,14,10/03/2017,2,15/04/2017,7,,10,3,36,NO
10,07/03/2017,1,05/06/2017,1,,,,10,90,,SI
11,07/03/2017,1,25/04/2017,1,,,,10,49,,SI
12,09/03/2017,1,16/03/2017,2,22/05/2017,7,,10,7,67,NO
13,10/03/2017,1,02/04/2017,1,05/09/2017,7,,10,23,156,NO
14,11/03/2017,1,31/03/2017,1,01/04/2017,9,,10,20,1,NO
15,15/03/2017,1,01/04/2017,1,,,,10,17,,SI
16,15/03/2017,1,08/04/2017,1,11/04/2017,9,,10,24,3,NO
17,18/03/2017,1,12/04/2017,4,,,,10,25,,SI
18,18/03/2017,1,12/04/2017,1,,,,10,25,,SI
19,20/03/2017,1,31/03/2017,1,,,,10,11,,SI
20,21/03/2017,1,08/04/2017,1,,,,10,18,,SI
21,21/03/2017,1,12/04/2017,1,,,,10,22,,SI
22,22/03/2017,1,02/04/2017,3,,,,10,11,,SI
23,23/03/2017,8,31/03/2017,1,01/08/2017,7,,10,8,123,NO
24,23/03/2017,1,20/05/2017,1,,,,10,58,,SI
25,23/03/2017,1,11/05/2017,2,06/07/2017,7,,10,49,56,NO
26,23/03/2017,5,07/06/2017,1,28/12/2017,5,,10,76,204,NO
27,23/03/2017,1,07/05/2017,1,21/08/2017,4,,10,45,106,NO
28,24/03/2017,10,05/04/2017,1,24/06/2017,9,,10,12,80,NO
29,24/03/2017,1,08/04/2017,1,03/11/2017,9,,10,15,209,NO
30,24/03/2017,1,05/04/2017,1,,,,10,12,,SI
31,25/03/2017,13,04/04/2017,3,,,,10,10,,SI
32,25/03/2017,1,17/04/2017,1,,,29/04/2017,4,23,,SI
33,25/03/2017,1,15/04/2017,2,27/05/2017,7,,10,21,42,NO
34,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
35,27/03/2017,1,29/03/2017,2,05/05/2017,7,,10,2,37,NO
36,27/03/2017,1,22/04/2017,2,10/05/2017,7,,10,26,18,NO
37,27/03/2017,1,29/03/2017,2,05/05/2017,7,,10,2,37,NO
38,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
39,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
40,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
41,27/03/2017,1,29/03/2017,2,05/05/2017,7,,10,2,37,NO
42,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
43,27/03/2017,1,29/03/2017,2,21/04/2017,7,,10,2,23,NO
44,27/03/2017,1,29/03/2017,2,05/05/2017,7,,10,2,37,NO
45,27/03/2017,8,22/04/2017,2,30/05/2017,7,,10,26,38,NO
46,27/03/2017,1,02/04/2017,1,,,,10,6,,SI
47,27/03/2017,1,19/05/2017,1,,,,10,53,,SI
48,28/03/2017,1,29/04/2017,1,,,,10,32,,SI
49,28/03/2017,1,19/04/2017,4,,,,10,22,,SI
50,28/03/2017,1,03/05/2017,1,15/05/2017,1,,10,36,12,NO
51,28/03/2017,1,04/04/2017,1,,,,10,7,,SI
52,28/03/2017,1,04/04/2017,1,02/05/2017,7,,10,7,28,NO
53,28/03/2017,1,01/04/2017,1,06/04/2017,9,,10,4,5,NO
54,29/03/2017,16,29/03/2017,2,11/04/2017,7,,10,0,13,NO
55,29/03/2017,16,29/03/2017,2,11/04/2017,7,,10,0,13,NO
56,29/03/2017,16,29/03/2017,2,11/04/2017,7,,10,0,13,NO
57,29/03/2017,16,29/03/2017,2,11/04/2017,7,,10,0,13,NO
58,31/03/2017,4,01/04/2017,3,,,,10,1,,SI
59,30/03/2017,8,10/04/2017,1,18/03/2018,9,,10,11,342,NO
60,30/03/2017,8,12/04/2017,1,,,,10,13,,SI
61,29/03/2017,8,09/04/2017,1,,,,10,11,,SI
62,31/03/2017,8,06/04/2017,2,25/04/2017,7,,10,6,19,NO
63,31/03/2017,8,06/04/2017,1,06/10/2017,9,,10,6,183,NO
64,31/03/2017,8,06/04/2017,1,,,,10,6,,SI
65,01/04/2017,4,29/04/2017,4,,,,10,28,,SI
66,01/04/2017,8,03/04/2017,3,03/04/2017,9,,10,2,0,NO
67,02/04/2017,16,11/04/2017,1,10/06/2017,17,,10,9,60,NO
68,02/04/2017,5,15/05/2017,1,,,,10,43,,SI
69,03/04/2017,8,03/04/2017,3,,,,10,0,,SI
70,03/04/2017,10,04/04/2017,3,,,,10,1,,SI
71,03/04/2017,10,22/04/2017,1,,,,10,19,,SI
